Название,Компания,Зарплата,Опыт,Адрес,Ссылка
Стажер - аналитик данных,Правительство Москвы,"37 500 – 75 000₽за месяц,до вычета налогов",Без опыта,"Москва, р-н Тверской",https://hh.ru/vacancy/132405011
Аналитик данных/Data Quality,Datanomica,"до200 000₽за месяц,до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132210088
Аналитик данных,ЛИАН,"200 000 – 250 000₽за месяц,на руки",Опыт более 6 лет,Москва,https://hh.ru/vacancy/132466615
Аналитик данных Power BI,ОООЭКО СЕРВИС,"120 000 – 160 000₽за месяц,на руки",Опыт 3-6 лет,"Санкт-Петербург, р-н Московский",https://hh.ru/vacancy/132282499
Аналитик данных (стажер),Aston,"от80 000₽за месяц,до вычета налогов",Без опыта,Санкт-Петербург,https://hh.ru/vacancy/132378060
"Аналитик баз данных в MS Excel, сверка по неполным данным, склейка, чистка",ОООРамСар,"от130 000₽за месяц,до вычета налогов",Опыт 3-6 лет,"Казань, р-н Советский",https://hh.ru/vacancy/131569809
Аналитик данных,ПАОТАТТЕЛЕКОМ,"от65 000₽за месяц,до вычета налогов",Опыт 1-3 года,"Казань, р-н Советский",https://hh.ru/vacancy/132433757
"Ведущий Аналитик данных (бизнес, маркетинг, финансы)",ProfiStaff,"от200 000₽за месяц,на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132140333
Аналитик данных (middle),ЛАНИТ,"150 000₽за месяц,на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132429287
Аналитик данных (маркетплейсы),ОООЛН Дистрибьюция,"от180 000₽за месяц,на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132286168
Аналитик данных,Сбер для экспертов,"от85 000₽за месяц,до вычета налогов",Опыт 1-3 года,Пермь,https://hh.ru/vacancy/132422334
Аналитик данных,Нмаркет.ПРО,"от130 000₽за месяц,на руки",Опыт 1-3 года,Санкт-Петербург,https://hh.ru/vacancy/131462826
Аналитик данных (начинающий специалист),ОООРУССКИЙ ДОМ ЭКСПОРТА,"от56 500₽за месяц,до вычета налогов",Опыт 1-3 года,"Самара, р-н Кировский",https://hh.ru/vacancy/132242238
Ведущий аналитик данных / Руководитель направления аналитики,ИПУчускин Дмитрий Петрович,"от150 000₽за месяц,на руки",Опыт 3-6 лет,Казань,https://hh.ru/vacancy/131926951
"Data Analyst/Аналитик данных (PostgreSQL, Python)",Сбер. IT,"от95 000₽за месяц,до вычета налогов",Без опыта,Омск,https://hh.ru/vacancy/131488367
Аналитик данных,Синергетик,"от150 000₽за месяц,на руки",Опыт 3-6 лет,Нижний Новгород,https://hh.ru/vacancy/131288686
Менеджер-стажер (аналитик данных),ОООСП Диджитал,"до50 000₽за месяц,до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132290829
Аналитик данных,ГАУЗ Оренбургский Областной Клинический Онкологический Диспансер,"от30 000₽за месяц,на руки",Без опыта,"Оренбург, р-н Ленинский",https://hh.ru/vacancy/132273469
Аналитик данных,Сбер. Начало карьеры,"от85 000₽за месяц,до вычета налогов",Опыт 1-3 года,Нижний Новгород,https://hh.ru/vacancy/132342576
Аналитик данных,"""МТС"", Технический блок","до170 000₽за месяц,до вычета налогов",Опыт 1-3 года,"Краснодар, р-н Центральный",https://hh.ru/vacancy/131074423
"Аналитик данных (Excel - PowerPivot, PowerQuery, макросы, SQL, Power BI, Python)",ГБУЗ ЦЛО ДЗМ,"от 130 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/129416754
Аналитик данных,Аналитика,"до 70 000 ₽ за месяц, до вычета налогов",Без опыта,"Воронеж, р-н Ленинский",https://hh.ru/vacancy/131475730
Аналитик данных B2C,Сбер. IT,"до 300 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/132401308
Аналитик данных,"БЕЛАЯ ДОЛИНА, Группа Компаний","от 60 000 ₽ за месяц, на руки",Без опыта,"Энгельс, Томская улица, 49",https://hh.ru/vacancy/132102418
Middle+ Аналитик данных,ООО ИЦ АЙ-ТЕКО,"до 210 000 ₽ за месяц, на руки",Опыт 3-6 лет,"Москва, р-н Тверской",https://hh.ru/vacancy/132441408
Ведущий специалист по документационному обеспечению и аналитике данных,АНОВО МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ,"105 270 ₽ за месяц, на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/132201184
Аналитик данных,ГБУ Информационно-Консультационный Центр Департамента Культуры Города Москвы,"от 140 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132229228
GenAI LLM Аналитик данных middle / RAG + Python + SQL + BI-аналитик / Инженер данных,АО Мейджерпак Рус,"от 220 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/131715420
Аналитик данных,Алешкевич Вадим,"30 000 – 50 000 ₽ за месяц, на руки",Опыт 1-3 года,"городской округ Ростов-на-Дону, р-н Ленинский",https://hh.ru/vacancy/132495913
Аналитик Сектора внутреннего контроля и верификации данных,Донской государственный технический университет,"от 43 000 ₽ за месяц, на руки",Без опыта,"Ростов-на-Дону, р-н Октябрьский",https://hh.ru/vacancy/132420290
Аналитик данных,"""МТС"", Контроль качества и аудит","от 70 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,"Рязань, р-н Советский",https://hh.ru/vacancy/130045945
Аналитик данных,Экспобанк,"от 100 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,"Новосибирск, р-н Центральный",https://hh.ru/vacancy/132232564
"Оператор, менеджер Базы данных, аналитик (автозапчасти)",ООО АРЕС,"от 100 000 ₽ за месяц, на руки",Опыт 3-6 лет,Санкт-Петербург,https://hh.ru/vacancy/132303876
Младший специалист-аналитик данных ВТБ РОСТ,"ПАО ВТБ, Технологический блок","130 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132142246
Младший специалист-аналитик данных ВТБ РОСТ,"ПАО ВТБ, Технологический блок","130 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Санкт-Петербург,https://hh.ru/vacancy/132142262
Аналитик данных DWH,Кофемания,"200 000 ₽ за месяц, на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/131097614
Аналитик данных в отдел продаж,"ООО Владторг, филиал в г.Находка","от 56 900 ₽ за месяц, до вычета налогов",Опыт 1-3 года,"Находка, Шоссейная улица, 48",https://hh.ru/vacancy/132412051
Младший специалист-аналитик данных ВТБ РОСТ,Changellenge,"130 000 ₽ за месяц, до вычета налогов",Без опыта,Москва,https://hh.ru/vacancy/132046636
Аналитик данных (Оператор 1С),ООО МарКо,"до 80 000 ₽ за месяц, на руки",Опыт 1-3 года,Казань,https://hh.ru/vacancy/131748298
Аналитик данных,ООО Группа Компаний БМК,"от 80 000 ₽ за месяц, на руки",Опыт 1-3 года,"Тверь, р-н Московский",https://hh.ru/vacancy/132235265
"Младший специалист-аналитик данных, ВТБ РОСТ",Changellenge,"130 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Санкт-Петербург,https://hh.ru/vacancy/132046641
Аналитик данных Центра развития электронных образовательных ресурсов СПбГУ,ФГБОУ ВО Санкт-Петербургский государственный университет,"от 50 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,"Санкт-Петербург, р-н Василеостровский",https://hh.ru/vacancy/132332894
Аналитик данных,ЛИАН,"300 000 – 350 000 ₽ за месяц, на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/132031653
Аналитик данных по учету времени,ЦБУ,"до 83 000 ₽ за месяц, на руки",Опыт 1-3 года,Екатеринбург,https://hh.ru/vacancy/130474278
Аналитик данных CRM,Экспобанк,"до 250 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/132076223
BI-аналитик / Аналитик данных (Power BI),Нек. орг. АНО ДПО НАДПО,"100 000 – 120 000 ₽ за месяц, на руки",Опыт 1-3 года,Санкт-Петербург,https://hh.ru/vacancy/132015234
Аналитик данных,ООО Глав Денталь,"60 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132032161
Аналитик данных,Алабуга. Проектный менеджмент,"от 127 500 ₽ за месяц, до вычета налогов",Опыт 1-3 года,"Елабужский район, Особая экономическая зона Алабуга, улица Ш-2, 4/1",https://hh.ru/vacancy/132252630
Специалист по анализу данных,"""МТС"", Финансы","до 79 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,"Краснодар, р-н Центральный",https://hh.ru/vacancy/131413060
Специалист по анализу данных и отчетности,Delko,"до 80 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Казань,https://hh.ru/vacancy/132213486
Специалист- аналитик данных (excel),ОООКадры Онлайн,"80 000 – 120 000₽за месяц,на руки",Опыт 1-3 года,Екатеринбург,https://hh.ru/vacancy/131893674
Маркетинговый аналитик данных (AdOps) programmatic / антифрод,Hyper AdTech,"150 000 – 200 000₽за месяц,на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/132089699
Главный специалист (аналитик данных),Московский метрополитен,"127 000₽за месяц,до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132010989
Аналитик данных,Служба занятости населения города Москвы,"65 000₽за месяц,до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132118624
Аналитик данных,Координационный центр КГУ им. К.Э. Циолковского,"40 000 – 45 000₽за месяц,до вычета налогов",Без опыта,"Калуга, улица Платова, 6А",https://hh.ru/vacancy/131981921
Инженер экономист-аналитик данных (строительство),ОООНациональная Инфраструктура,"от170 000₽за месяц,на руки",Опыт более 6 лет,Санкт-Петербург,https://hh.ru/vacancy/132167529
Аналитик данных CSI,Т1 Сервионика,"до165 000₽за месяц,до вычета налогов",Опыт 3-6 лет,Санкт-Петербург,https://hh.ru/vacancy/131918981
Аналитик данных,ГКУЗ Медицинский Информационно-Аналитический Центр Калининградской Области,"от51 000₽за месяц,на руки",Опыт 1-3 года,"Калининград, р-н Центральный",https://hh.ru/vacancy/132157992
Аналитик данных/биоинформатик (лаборант-исследователь),СибГМУ,"40 000₽за месяц,на руки",Без опыта,Томск,https://hh.ru/vacancy/130748046
Project Manager + Аналитик данных,Российский Университет Кооперации - Центросоюз РФ,"150 000₽за месяц,до вычета налогов",Опыт 1-3 года,Мытищи,https://hh.ru/vacancy/130435537
Аналитик данных,ОООДилер,"от100 000₽за месяц,до вычета налогов",Опыт 1-3 года,Нижний Новгород,https://hh.ru/vacancy/132187245
Аналитик данных в направление экономической безопасности,ОООГЕТ ЭКСПЕРТС РЕКРУТМЕНТ,"до100 000₽за месяц,на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/131928271
Аналитик данных,ОООИЦ АЙ-ТЕКО,"до200 000₽за месяц,на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132076508
Младший аналитик данных,ОООПРАВЭКС,"от60 000₽за месяц,на руки",Опыт 1-3 года,"Челябинск, р-н Советский",https://hh.ru/vacancy/131636279
Аналитик данных клиентского опыта,АОБанк ДОМ.РФ Другие подразделения,"от300 000₽за месяц,до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/131739569
Аналитик данных,ГКУ Центр организации дорожного движения Правительства Москвы,"90 000 – 100 000₽за месяц,на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132109795
Аналитик данных,DNS Головной офис,"от149 000₽за месяц,до вычета налогов",Опыт 1-3 года,"Владивосток, проспект 100-летия Владивостока, 155к3",https://hh.ru/vacancy/131890329
Аналитик данных,ОООСпутник,"80 000 – 95 000₽за месяц,на руки",Опыт 1-3 года,Краснодар,https://hh.ru/vacancy/131665955
Аналитик данных,DNS Головной офис,"от138 000₽за месяц,до вычета налогов",Опыт 1-3 года,"Владивосток, проспект 100-летия Владивостока, 155к3",https://hh.ru/vacancy/131069180
Аналитик данных,ОООМартин Урал,"от75 000₽за месяц,до вычета налогов",Опыт 1-3 года,"Тюмень, р-н Калининский",https://hh.ru/vacancy/131322340
Аналитик данных/программист,ТФ ОМС Курганской области,"от 40 000 ₽ за месяц, на руки",Без опыта,"Курган, р-н Центральный",https://hh.ru/vacancy/131990294
Аналитик данных,ООО ИЦ АЙ-ТЕКО,"до 200 000 ₽ за месяц, на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/131982685
Аналитик данных,"МАГНИТ, Розничная сеть. Офис","64 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,"Краснодар, р-н Прикубанский",https://hh.ru/vacancy/131790668
Аналитик данных,Государственное бюджетное учреждение Республики Саха (Якутия) Республиканский центр инфокоммуникационных технологий,"от 100 000 ₽ за месяц, на руки",Опыт 1-3 года,"Якутск, проспект Ленина, 1",https://hh.ru/vacancy/131640460
Аналитик баз данных,"Здравсервис (Здесь Аптека, Твой Доктор)","57 000 – 80 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,"Тула, р-н Советский",https://hh.ru/vacancy/131715669
"Аналитик данных Excel (Усть-Луга, Ленинградская область)",Китайская Строительная Компания,"100 000 – 120 000 ₽ за месяц, на руки",Опыт 1-3 года,посёлок Усть-Луга,https://hh.ru/vacancy/131752755
Специалист по аналитике и визуализации данных / Консалтинговый аналитик (Excel + презентации),ООО Деломант Групп,"80 000 – 120 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/131908454
Аналитик данных,Сбер. IT,"от 92 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Нижний Новгород,https://hh.ru/vacancy/131777567
Аналитик данных терминального оборудования,Т1 Сервионика,"до 165 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/131898762
Аналитик данных,Компания maxim,"от 70 000 ₽ за месяц, на руки",Опыт 1-3 года,"Курган, р-н Центральный",https://hh.ru/vacancy/128159587
Аналитик данных,ФБУ Центр Управления Проектами в Промышленности,"от 110 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/130197693
Аналитик данных/ Аналитик DWH,Арлифт,"от 200 000 ₽ за месяц, на руки",Опыт 1-3 года,Санкт-Петербург,https://hh.ru/vacancy/130867065
Аналитик данных,ООО ТТК-Связь,"78 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,"Новосибирск, р-н Железнодорожный",https://hh.ru/vacancy/131658731
Помощник аналитика / Аналитик данных,Ультра Спорт,"10 000 – 20 000 ₽ за месяц, на руки",Без опыта,Нижний Новгород,https://hh.ru/vacancy/132180554
Младший аналитик данных (Junior Data Analyst),ИП Панина Анастасия Александровна,"от 80 000 ₽ за месяц, до вычета налогов",Без опыта,Москва,https://hh.ru/vacancy/132422752
Аналитик данных,ООО Альянс Региональных Ритейлеров,"120 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132364840
Аналитик данных (стажер),Aston,"от 80 000 ₽ за месяц, до вычета налогов",Без опыта,Москва,https://hh.ru/vacancy/132466701
Аналитик баз данных (начальный уровень),ГКУ МО Центр Внедрения Изменений Министерства Здравоохранения Московской Области,"до 110 000 ₽ за месяц, на руки",Опыт 1-3 года,Красногорск,https://hh.ru/vacancy/132477290
Аналитик данных,ООО Лаборатория Гемотест,"до 250 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/132484585
Специалист по автоматизации аналитики и отчетности/Аналитик данных,ООО Монблан,"от 100 000 ₽ за месяц, на руки",Без опыта,Москва,https://hh.ru/vacancy/132439586
Аналитик баз данных,ООО Фортис Технологии,"80 000 – 120 000 ₽ за месяц, на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/131889061
Аналитик данных,ПАО МКК Займер,"от 80 000 ₽ за месяц, на руки",Опыт 1-3 года,"Кемерово, р-н Заводский",https://hh.ru/vacancy/132374016
Аналитик данных,ООО Сжд Сервис,"от 7 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132400183
Аналитик данных Wildberries/Faullstack Data Analyst,ООО ГЛОБАЛ ТРЕЙД СОЛЮШНС,"от 100 000 ₽ за месяц, на руки",Опыт 3-6 лет,Санкт-Петербург,https://hh.ru/vacancy/132463768
Аналитик данных,ООО Стройспектр,"от 6 300 ₽ за месяц, на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132292162
Аналитик данных,ООО Амис Плюс,"60 000 – 80 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132344052
Бизнес-аналитик/Аналитик данных,БорисХоф,"от 200 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/131044588
Аналитик данных,ООО Дельта,"от 7 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132296468
Аналитик данных,ООО СМК Грандсервис,"от 7 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132292624
Аналитик данных,ООО Медиабюро Статус презенс,"120 000 – 150 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/131978902
Финансовый аналитик/Аналитик данных,WeFix Appliance Repair,не указана,Опыт 3-6 лет,Москва,https://hh.ru/vacancy/132313168
"Аналитик данных, программист",ОООНордком Карелия,"60 000 – 100 000₽за месяц,на руки",Опыт 1-3 года,"Петрозаводск, Лесной проспект, 51",https://hh.ru/vacancy/132194338
Аналитик данных,ПАОРостелеком,"от90 000₽за месяц,до вычета налогов",Опыт 1-3 года,Воронеж,https://hh.ru/vacancy/132168151
Аналитик данных/статистик,Федеральная служба государственной статистики (Росстат),"60 000 – 90 000₽за месяц,на руки",Без опыта,Москва,https://hh.ru/vacancy/132161253
Аналитик данных в Управление клиентского сервиса,Экспобанк,"от150 000₽за месяц,до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132231275
Аналитик данных,ФГАУ НМИЦ МНТК Микрохирургия глаза им. акад. С.Н.Федорова Минздрава России,"от120 000₽за месяц,до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/132135536
BI-аналитик / аналитик данных,ОООЭксайт Кит,"200 000 – 250 000₽за месяц,на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/132091995
Начинающий аналитик данных / исследователь data researcher,Технодзен,"30 000 – 100 000₽за месяц,на руки",Без опыта,Москва,https://hh.ru/vacancy/131941809
Аналитик данных (Junior),МАЗАНОВ ВИКТОР АЛЕКСАНДРОВИЧ,"64 000 – 73 000₽за месяц,до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/131874312
Младший аналитик данных,SOKOLOV,"до70 000₽за месяц,до вычета налогов",Опыт 1-3 года,"Кострома, р-н Центральный",https://hh.ru/vacancy/131889941
Аналитик данных/Data Analyst,ФГУП ЦРП,"от150 000₽за месяц,на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/132124399
Младший аналитик данных,ПроКонтекст,"от90 000₽за месяц,до вычета налогов",Опыт 1-3 года,"Москва, р-н Басманный",https://hh.ru/vacancy/129285542
Аналитик данных,ОООСтоун,"от200 000₽за месяц,на руки",Опыт 1-3 года,"Москва, р-н Южное Бутово",https://hh.ru/vacancy/131759965
Junior Data Analyst / Аналитик данных,Siberian Wrestler,"50 000 – 70 000₽за месяц,на руки",Опыт 1-3 года,Барнаул,https://hh.ru/vacancy/130961104
Аналитик данных,ОООИЦ АЙ-ТЕКО,"200 000₽за месяц,на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/131984313
"Аналитик данных (python, sql)","АОРоссельхозбанк, Головной офис","до180 000₽за месяц,до вычета налогов",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/130620172
Старший аналитик данных / Разработчик SQL,Межрегиональный Информационный Центр Фонда Пенсионного и Социального Страхования Российской Федерации,"от150 000₽за месяц,на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/129303708
Аналитик данных (Senior),ОООВ Кадре,"240 000 – 270 000₽за месяц,на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/131980000
Аналитик баз данных,ОООRentHouse,"до50 000₽за месяц,до вычета налогов",Опыт 1-3 года,Казань,https://hh.ru/vacancy/131948044
Аналитик баз данных,ОООАБП,"от240 000₽за месяц,на руки",Опыт 3-6 лет,"Москва, р-н Якиманка",https://hh.ru/vacancy/131836313
Аналитик данных/ разработчик SQL,Межрегиональный Информационный Центр Фонда Пенсионного и Социального Страхования Российской Федерации,"от 75 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/129302667
Аналитик данных,ПроКонтекст,"от 150 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/129285854
Аудитор в службу внутреннего аудита (с функциями аналитика данных),"ООО ""Интер РАО – Управление электрогенерацией""","от 279 038 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/131701146
Ведущий специалист по финансово-договорному сопровождению и аналитике данных,АНОВО МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ,"105 270 ₽ за месяц, на руки",Опыт 3-6 лет,Москва,https://hh.ru/vacancy/132201421
Аналитик данных,Алабуга. Проектный менеджмент,"от 127 500 ₽ за месяц, до вычета налогов",Опыт 1-3 года,"Елабужский район, Особая экономическая зона Алабуга, улица Ш-2, 4/1",https://hh.ru/vacancy/132252629
Аналитик данных,Алабуга. Проектный менеджмент,"от 127 500 ₽ за месяц, до вычета налогов",Опыт 1-3 года,"Елабужский район, Особая экономическая зона Алабуга, улица Ш-2, 4/1",https://hh.ru/vacancy/132252627
Аналитик данных,Алабуга. Проектный менеджмент,"от 127 500 ₽ за месяц, до вычета налогов",Опыт 1-3 года,"Елабужский район, Особая экономическая зона Алабуга, улица Ш-2, 4/1",https://hh.ru/vacancy/132252626
Аналитик данных,Алабуга. Проектный менеджмент,"от 127 500 ₽ за месяц, до вычета налогов",Опыт 1-3 года,"Елабужский район, Особая экономическая зона Алабуга, улица Ш-2, 4/1",https://hh.ru/vacancy/132252628
Аналитик данных,Алабуга. Проектный менеджмент,"от 127 500 ₽ за месяц, до вычета налогов",Опыт 1-3 года,"Елабужский район, Особая экономическая зона Алабуга, улица Ш-2, 4/1",https://hh.ru/vacancy/132252631
"Аналитик данных Excel (Усть-Луга, Ленинградская область)",Китайская Строительная Компания,"100 000 – 120 000 ₽ за месяц, на руки",Опыт 1-3 года,посёлок Усть-Луга,https://hh.ru/vacancy/131752756
